z	mB	err_mB
0.18365	20.55265	0.0200081025
0.1036	18.96075	0.011140802500000001
0.33096	22.03	0.0363093025
0.2184	20.76195	0.020022249999999995
0.26327	21.035	0.02292196
0.16267	20.2483	0.01697809
0.10689	19.2184	0.0109307025
0.16503	20.0849	0.013421222499999998
0.10757	19.24475	0.0118048225
0.12913	19.5083	0.01306449
0.05948	17.71775	0.0159390625
0.04093	17.0528	0.0136072225
0.01705	14.85645	0.03356224
0.01531	14.59755	0.02601769
0.01472	14.6158	0.022215902499999995
0.02673	15.97105	0.026130722499999995
0.01732	14.8718	0.025185690000000004
0.04437	16.72085	0.0392238025
0.01567	14.4307	0.0237314025
0.02477	15.6593	0.02951524
0.038	16.7664	0.0173844225
0.0299	16.2413	0.015129
0.01012	13.90745	0.039303062500000006
0.0258	16.1648	0.01893376
0.01038	14.0496	0.04194304
0.03791	16.5851	0.04004001
0.03507	16.45115	0.0281736225
0.01268	14.4486	0.029241000000000003
0.02525	15.82815	0.017675702500000005
0.01908	15.3534	0.0199233225
0.03489	16.36835	0.027788889999999997
0.0295	16.3438	0.0162180225
0.03416	16.57565	0.024429689999999997
0.04067	16.7928	0.012701289999999999
0.07515	17.8882	0.015575039999999998
0.05581	17.23215	0.015092122500000001
0.02529	15.7896	0.019740250000000004
0.03501	16.6581	0.015587522500000001
0.02846	16.0051	0.017969402500000002
0.0328	16.64085	0.0156875625
0.03378	16.38795	0.01968409
0.04597	17.2822	0.010506249999999998
0.04341	16.93145	0.01461681
0.05684	17.73355	0.014472090000000002
0.02024	15.2868	0.0162180225
0.03191	16.59205	0.0163200625
0.0415	16.9967	0.015850810000000003
0.02639	15.93305	0.019572009999999997
0.02651	16.06745	0.015575039999999998
0.02689	15.87545	0.015876
0.02349	15.6236	0.017902440000000002
0.05067	17.57225	0.024964
0.04093	16.7302	0.01682209
0.06877	18.16815	0.0122213025
0.01754	14.9841	0.01798281
0.02557	15.8607	0.022380160000000003
0.02189	15.53085	0.01907161
0.03155	16.1279	0.0199233225
0.06845	18.31035	0.015575039999999998
0.02249	15.56975	0.01934881
0.04949	17.32405	0.015737702500000002
0.03161	16.3736	0.0159390625
0.03434	16.61295	0.01560001
0.04486	17.2055	0.0218892025
0.01531	14.74935	0.023286760000000004
0.03048	16.25295	0.018009640000000004
0.03837	16.9021	0.0274068025
0.03682	16.77055	0.016014902499999997
0.0221	15.7795	0.018755302499999998
0.01402	14.64805	0.026227802500000005
0.0589	17.792	0.0129846025
0.05895	17.7707	0.0100902025
0.06888	18.1778	0.022816102499999998
0.0204	15.7067	0.024336
0.02894	16.02685	0.01731856
0.02384	15.7013	0.01782225
0.01451	14.89705	0.028106522499999998
0.03292	16.452	0.01404225
0.06455	17.78945	0.012904960000000002
0.01663	15.01385	0.0225750625
0.05359	17.4687	0.02070721
0.03163	16.21965	0.0142683025
0.02751	15.9978	0.016666809999999997
0.02559	15.5514	0.015850810000000003
0.02401	15.78645	0.015964322499999996
0.03713	16.56045	0.013853289999999999
0.03408	16.39975	0.015512702499999998
0.02454	15.6001	0.016332839999999998
0.01697	14.91335	0.023439610000000003
0.01629	15.17685	0.022846322500000002
0.03184	16.34225	0.0147015625
0.037	16.74885	0.0161925625
0.02932	15.8648	0.02122849
0.0174	15.26595	0.02205225
0.03578	16.59205	0.03101121
0.02845	16.04785	0.018604959999999997
0.05035	17.2903	0.0266832225
0.04269	16.93325	0.013689000000000002
0.03212	16.23615	0.02047761
0.02752	16.0669	0.020320502500000004
0.03049	16.28725	0.020135609999999998
